Name,Type,X,Y,Layer,Properties
"Entrance (Blue)","Core Interactives",196,86,"Objects","{}"
"Entrance (Blue)","Core Interactives",280,87,"Objects","{}"
"Entrance (Blue)","Core Interactives",134,88,"Objects","{}"
"Entrance (Blue)","Core Interactives",152,88,"Objects","{}"
"Entrance (Blue)","Core Interactives",154,88,"Objects","{}"
"Entrance (Blue)","Core Interactives",202,96,"Objects","{}"
"Entrance (Blue)","Core Interactives",144,98,"Objects","{}"
"Entrance (Blue)","Core Interactives",21,101,"Objects","{}"
"Entrance (Blue)","Core Interactives",189,101,"Objects","{}"
"Entrance (Blue)","Core Interactives",200,101,"Objects","{}"
"Entrance (Blue)","Core Interactives",169,103,"Objects","{}"
"Entrance (Blue)","Core Interactives",29,104,"Objects","{}"
"Entrance (Blue)","Core Interactives",163,104,"Objects","{}"
"Entrance (Blue)","Core Interactives",30,105,"Objects","{}"
"Entrance (Blue)","Core Interactives",174,106,"Objects","{}"
"Entrance (Blue)","Core Interactives",193,106,"Objects","{}"
"Entrance (Blue)","Core Interactives",109,107,"Objects","{}"
"Entrance (Blue)","Core Interactives",439,107,"Objects","{}"
"Entrance (Blue)","Core Interactives",293,108,"Objects","{}"
"Entrance (Blue)","Core Interactives",150,113,"Objects","{}"
"Entrance (Blue)","Core Interactives",165,115,"Objects","{}"
"Entrance (Blue)","Core Interactives",181,116,"Objects","{}"
"Entrance (Blue)","Core Interactives",159,117,"Objects","{}"
"Entrance (Blue)","Core Interactives",155,118,"Objects","{}"
"Entrance (Blue)","Core Interactives",153,119,"Objects","{}"
"Entrance (Blue)","Core Interactives",152,120,"Objects","{}"
"Entrance (Blue)","Core Interactives",165,120,"Objects","{}"
"Entrance (Blue)","Core Interactives",251,121,"Objects","{}"
"Entrance (Blue)","Core Interactives",362,125,"Objects","{}"
"Entrance (Blue)","Core Interactives",344,126,"Objects","{}"
"Entrance (Blue)","Core Interactives",13,131,"Objects","{}"
"Entrance (Blue)","Core Interactives",15,132,"Objects","{}"
"Entrance (Blue)","Core Interactives",344,133,"Objects","{}"
"Entrance (Blue)","Core Interactives",32,137,"Objects","{}"
"Entrance (Blue)","Core Interactives",345,138,"Objects","{}"
"Entrance (Blue)","Core Interactives",298,140,"Objects","{}"
"Entrance (Blue)","Core Interactives",491,143,"Objects","{}"
"Entrance (Blue)","Core Interactives",114,147,"Objects","{}"
"Entrance (Blue)","Core Interactives",339,148,"Objects","{}"
"Entrance (Blue)","Core Interactives",386,148,"Objects","{}"
"Entrance (Blue)","Core Interactives",407,149,"Objects","{}"
"Entrance (Blue)","Core Interactives",120,151,"Objects","{}"
"Entrance (Blue)","Core Interactives",492,151,"Objects","{}"
"Entrance (Blue)","Core Interactives",227,156,"Objects","{}"
"Entrance (Blue)","Core Interactives",495,156,"Objects","{}"
"Entrance (Blue)","Core Interactives",491,161,"Objects","{}"
"Entrance (Blue)","Core Interactives",413,164,"Objects","{}"
"Entrance (Blue)","Core Interactives",455,169,"Objects","{}"
"Entrance (Blue)","Core Interactives",478,174,"Objects","{}"
"Entrance (Blue)","Core Interactives",427,176,"Objects","{}"
"Entrance (Blue)","Core Interactives",494,177,"Objects","{}"
